id,code,first_name,second_name,web_name,photo,element_type
576,548308,Ashley,Phillips,Phillips,https://resources.premierleague.com/premierleague25/photos/players/110x140/548308.png,2
577,553299,Takai,Kōta,Takai,https://resources.premierleague.com/premierleague25/photos/players/110x140/553299.png,2
578,610799,Luka,Vušković,Vuskovic,https://resources.premierleague.com/premierleague25/photos/players/110x140/610799.png,2
579,85971,Son,Heung-min,Son,https://resources.premierleague.com/premierleague25/photos/players/110x140/85971.png,3
581,172780,James,Maddison,Maddison,https://resources.premierleague.com/premierleague25/photos/players/110x140/172780.png,3
582,460842,Mohammed,Kudus,Kudus,https://resources.premierleague.com/premierleague25/photos/players/110x140/460842.png,3
583,445044,Dejan,Kulusevski,Kulusevski,https://resources.premierleague.com/premierleague25/photos/players/110x140/445044.png,3
584,511499,Mathys,Tel,Tel,https://resources.premierleague.com/premierleague25/photos/players/110x140/511499.png,3
585,202993,Rodrigo,Bentancur,Bentancur,https://resources.premierleague.com/premierleague25/photos/players/110x140/202993.png,3
586,570526,Lucas,Bergvall,Bergvall,https://resources.premierleague.com/premierleague25/photos/players/110x140/570526.png,3
587,227127,Yves,Bissouma,Bissouma,https://resources.premierleague.com/premierleague25/photos/players/110x140/227127.png,3
588,550839,Wilson,Odobert,Odobert,https://resources.premierleague.com/premierleague25/photos/players/110x140/550839.png,3
589,235674,Manor,Solomon,Solomon,https://resources.premierleague.com/premierleague25/photos/players/110x140/235674.png,3
590,436234,Bryan,Gil Salvatierra,Bryan,https://resources.premierleague.com/premierleague25/photos/players/110x140/436234.png,3
591,547701,Archie,Gray,Gray,https://resources.premierleague.com/premierleague25/photos/players/110x140/547701.png,3
592,499721,Mikey,Moore,Moore,https://resources.premierleague.com/premierleague25/photos/players/110x140/499721.png,3
593,482442,Pape Matar,Sarr,P.M.Sarr,https://resources.premierleague.com/premierleague25/photos/players/110x140/482442.png,3
594,623095,Yang,Min-hyeok,Min-hyeok,https://resources.premierleague.com/premierleague25/photos/players/110x140/623095.png,3
595,499726,Callum,Olusesi,Olusesi,https://resources.premierleague.com/premierleague25/photos/players/110x140/499726.png,3
596,154566,Dominic,Solanke-Mitchell,Solanke,https://resources.premierleague.com/premierleague25/photos/players/110x140/154566.png,4
597,212319,Richarlison,de Andrade,Richarlison,https://resources.premierleague.com/premierleague25/photos/players/110x140/212319.png,4
598,552427,Will,Lankshear,Lankshear,https://resources.premierleague.com/premierleague25/photos/players/110x140/552427.png,4
599,490145,Dane,Scarlett,Scarlett,https://resources.premierleague.com/premierleague25/photos/players/110x140/490145.png,4
673,154296,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,J.Palhinha,https://resources.premierleague.com/premierleague25/photos/players/110x140/154296.png,3
717,493362,Xavi,Simons,Xavi,https://resources.premierleague.com/premierleague25/photos/players/110x140/493362.png,3
726,247693,Randal,Kolo Muani,Kolo Muani,https://resources.premierleague.com/premierleague25/photos/players/110x140/247693.png,4
745,640419,Jun'ai,Byfield,Byfield,https://resources.premierleague.com/premierleague25/photos/players/110x140/640419.png,2
750,499716,James,Rowswell,Rowswell,https://resources.premierleague.com/premierleague25/photos/players/110x140/499716.png,2
751,590035,Yusuf,Akhamrich,Akhamrich,https://resources.premierleague.com/premierleague25/photos/players/110x140/590035.png,3
790,611917,Lucá,Williams-Barnett,Williams-Barnett,https://resources.premierleague.com/premierleague25/photos/players/110x140/611917.png,3
796,232787,Conor,Gallagher,Gallagher,https://resources.premierleague.com/premierleague25/photos/players/110x140/232787.png,3
804,616221,João Victor,de Souza Menezes,Souza,https://resources.premierleague.com/premierleague25/photos/players/110x140/616221.png,2
811,536134,Rio,Kyerematen,Kyerematen,https://resources.premierleague.com/premierleague25/photos/players/110x140/536134.png,3
818,613232,James,Wilson,Wilson,https://resources.premierleague.com/premierleague25/photos/players/110x140/613232.png,4
326,159533,Adama,Traoré Diarra,Adama,https://resources.premierleague.com/premierleague25/photos/players/110x140/159533.png,3
600,84182,Alphonse,Areola,Areola,https://resources.premierleague.com/premierleague25/photos/players/110x140/84182.png,1
601,82143,Wes,Foderingham,Foderingham,https://resources.premierleague.com/premierleague25/photos/players/110x140/82143.png,1
602,483364,Krisztián,Hegyi,Hegyi,https://resources.premierleague.com/premierleague25/photos/players/110x140/483364.png,1
